"","title","hit","url_val","contentlist"
"1","NFC 태그 질문 드려요","91","https://www.clien.net//service/board/kin/14746490?od=T31&po=9&category=&groupCd=community","       안녕하세요?      NFC태크를 이용해서 게이트맨 비번 입력을 안하고 출입을 해볼까 고민을 하게 되었는데요.   일단, 제가 사용하는 게이트맨이 A110-FH 이라는 모델입니다.      이미지 캡션   이 모델은 건설사 납품용으로 나온거라 스마트리빙 기능은 빠져있어서,   구형 블루투스키만 설치가 가능하더군요.      게이트맨 블루투스키      A110-FH에 블루투스키를 설치하고 제 폰에 블투로 연결까지 완료했지요.      근데,   제 예상은 현관문에 가까이 가면 이게 뿅하고 팝업으로 나올줄 알았는데,   구형이라 그런지 굳이 앱을 열고 블투를 연결하는 과정을 거쳐 화면에서 자물쇠 모양을 터치해야 열리더라구요;;      사실, 이게 그리 간단한 방법이 아니다 보니,   NFC태그를 이용해보자 생각을 해봤습니다.      트리거 앱을 이용해 자동화 만들어놨는데,      또 웃긴게,,,      화면이 대기모드일 경우엔 NFC 태그를 읽어도 자동화 실행이 안되데요;;   그렇다면, 폰을 열어서 태그를 하고 자동화를 하는게 의미가 있는건지 현타가 오네요.      트리거+NFC 조합은 화면을 깨운 상태에서만 작동하게 되는건가요?   혹시,   제가 모르는 좋은 방법이 있을지 궁금합니다                  "
"2","하프라이프 최신작에서 헤드크랩 상대하는 법.gif","1782","https://www.clien.net//service/board/park/14746489?od=T31&po=9&category=&groupCd=community","         V-R   "
"3","탈모인들은 요즘시대 살고있는게 정말 다행 아닌가요?","1534","https://www.clien.net//service/board/park/14746488?od=T31&po=9&category=&groupCd=community","      현재 머리 상태인데 겉만보면 지극히 평범해요   탈모인걸 말해야 아 앞머리가 좀 엷긴하네 소리들을 정도구요      저게 진짜 머리숱이 많이 줄어든거에요   20대 초반빼는 미용실 갈때마다 머리숱 너무많다 소리들었고   저도 느껴졌는데 29살인 지금은 많이 빠져서 평범해진 수준이네요      아버지랑 친형 외삼촌이 탈모여서 나도 언젠간 오겠지 생각하던찰나 2년전 앞머리를 얼려보니 사이드부분이 조금 파이기 시작해서 피부과 여러곳 방문해서 상의끝에 2년전부터 먹고있네요      몇년전부터 머리머리 탈모빔 이런식으로 탈모얘기가 많이 나오기도 하고 정보들이 많아서 저처럼 일찍 초기에 먹는분들이 많을텐데      제가 아마 15년정도만 더 빨리 태어났으면 정보도 많이없고 심각한 상태를 몰라지금쯤 머리가 심하게 날라갔을 거라 생각되네요   "
"4","주모 과로사 하시겠군요 ㄷㄷㄷ","3617","https://www.clien.net//service/board/park/14746487?od=T31&po=9&category=&groupCd=community","      이거 12월달부터 지금까지 주모는 칸도 가시고 어디도 가시고      이거 이래서 정상적인 주모활동 하실 수 있겠습니까...      그러니까 주모 빨리좀 나와요... 세계일주좀 하셔야 되겠네...   "
"5","호주 올림픽위원회 보이콧","1327","https://www.clien.net//service/board/park/14746486?od=T31&po=9&category=&groupCd=community","      [서울=뉴시스] 양소리 기자 = 뉴질랜드, 캐나다에 이어 호주 올림픽위원회도 올해 도쿄 올림픽에 참가하지 않겠다며 23일 보이콧을 선언했다. 호주 올림픽위원회는 이날 홈페이지에 성명을 발표하고 ""우리는 올림픽의 연기를 준비하고 있다""고 밝혔다.호주 올림픽위원회는 ""우리는 오늘 오전 원격 회의를 통해 진행위원회 회의를 열고 국내외의 변화하는 상황을 고려했을 때 호주의 (올림픽) 국가대표팀을 구성할 수 없다는 데 만장일치로 합의했다""고 발표했다.맷 캐럴 호주 올림픽위원회 위원장은 ""선수들은 자기 스스로, 가족, 나아가 세계 사회를 위해 옳은 일을 하고 있다는 확신을 필요로 했다""며 ""우리는 해외에서 활동 중인 선수들을 (올림픽 대표단으로) 구성했고, 이들은 호주의 주요 도시에서 대표팀으로서 자신의 프로그램을 관리하도록 계획했다""고 했다.그는 이어 ""그러나 (코로나19로 인한) 여행의 제한으로 이는 불가능한 상황이 됐다""고 설명했다.캐럴 위원장은 ""국제올림픽위원회(IOC)는 '선수 우선 주의'를 핵심 원칙으로 삼고 있으며 선수와 스포츠의 이익을 위해 움직인다. 우리의 결정은 (IOC의) 그러한 원칙을 반영한 것이다""면서 IOC를 압박했다.이언 체스터먼 호주 올림픽 대표단 단장은 ""지난주 25개가 넘는 종목의 선수들과 소통을 한 뒤 답변을 받았다""면서 ""올해 올림픽이 7월에 개최될 수 없다는 것은 분명하다. 우리 선수들은 훈련과 준비를 위해 긍정적인 자세로 임했으나 (코로나19 확산으로 인한) 스트레스와 불확실성은 이들에게 매우 힘든 일이었다""고 설명했다.그는 ""이들은 또한 전 세계 동료들의 걱정을 떠안고 있었다. 이것이 선수들이 내게 보낸 일관된 메시지다""고 했다.체스터먼 단장은 ""올림픽의 연기는 다양한 새로운 문제를 야기할 수도 있다""면서도 ""하지만 도쿄 올림픽에 세계 각국이 모두 모일 수 있을 때 그들은 진정한 스포츠와 인류를 위한 행사를 열 수 있을 것이다""고 강조했다.한편 토마스 바흐 국제올림픽위원회(IOC) 위원장은 도쿄 올림픽 연기 여부를 앞으로 4주 안에 결정하겠다고 밝혔다.   "
"6","워크래프트 최고 근본은 트롤과 타우렌입니다","1281","https://www.clien.net//service/board/park/14746485?od=T31&po=9&category=&groupCd=community","      아제로스 토착종족 중 가장 먼저 문명화된게 트롤과 타우렌입니다.      나엘은 영원의 샘의 영향으로 진화한 트롤이고   여기서 갈라져나온 하엘 블엘 공엘 나이트본 등도 모두 트롤이 기원입니다.      인간 드워프 노움 같은 애들은 티탄이 만들고 간 금속생명체가 저주받아 유기체화 된 것들이라 근본으로 치면 한참 부족하죠    그러니 트롤과 타우렌이 있는 호드야말로 근본 중의 근본입니다.   "
"7","맥당특가로는 맥관련 제품만 올릴수있나요?","102","https://www.clien.net//service/board/kin/14746484?od=T31&po=9&category=&groupCd=community","       사정이생겨서 픽셀북을 정리하려고하는데 글/댓글 조건을 못채워서 사고팔고 게시판에 글을 쓸수가 없네요..ㅠ      작년에는 맥북 정리할꺼라고 맥당특가로 올려서 후다닥 거래했었는데,   이번엔 맥북이 아니라서.. 그래도 올려도될까 하는 생각이 드네요.      당x마켓에 올리기전에 클리앙에서 먼저 알아보고싶은데..   이럴땐 어떻게 하는게 좋을까요?      "
"8","일본 올림픽 40년주기설","1467","https://www.clien.net//service/board/park/14746483?od=T31&po=9&category=&groupCd=community","      1900년대 파리 올림픽 당연히 미참 이고 엑스포 부대 행사정도의 실패한 올림픽      1940년 올림 원래 일본 에서 열릴 올림픽이었는나 중일전쟁으로 취소    5년후 일본 제국 추축국 패망   1980년 올림픽 일본 대만 우리나라 등 불참    10년후 구소련 멸망   2020년 도쿄 올림픽??     15년후?? 지금 이런식이면 세계가 멸망할 기세      일본 글들 보다보니 흥미로운 40년주기설이 있네요 왠지 저런 미신적인 요소도 작용해서 아베가 더 매달리는게 아닐까 싶어요   "
"9","괜히 보통의 텔레그렘 사용자들에게 불똥이 튈까봐 걱정이네요.","947","https://www.clien.net//service/board/park/14746482?od=T31&po=9&category=&groupCd=community","      카톡 보안이슈때 넘어온 사람도 꽤 있을테고   여러가지 알람봇으로 사용하는 사람도 있을테지만   it 관심없는 사람들은 텔레그렘 = 범죄 어플 이렇게 낙인 찍어놓고 볼거같은데.. 저도 새로 가입한 여자들 두셋 정도 보이더라구요. 아마 누가 텔레그렘 가입해있나 확인한거겠죠. 저는 주변에 현재 연락하거나 관계맺고있는 여성이 별로 없어서 큰 걱정은 없는데 직장다니거나 대학다니는 분들은 ..    억지로 탈퇴하는 경우도 생기겠네요.  이제와서 탈퇴하는게 더 웃긴거같아서 저는 안하고있어요   "
"10","공적마스크 구매 줄서기","1958","https://www.clien.net//service/board/park/14746480?od=T31&po=9&category=&groupCd=community","      현재 공적마스크 구매를 위해 약국앞에 줄서서 대기중입니다   여긴 번호표 없이 13시10분부터 순차적으로 판매 하는데 벌써부터 줄이 장난이 아니내요   "
